sa4_code_2016, age_grp, sa4_name_2016, pop
"102","65 and over","Central Coast",85500
"115","65 and over","Sydney - Baulkham Hills and Hawkesbury",39000
"116","65 and over","Sydney - Blacktown",37500
"117","65 and over","Sydney - City and Inner South",41900
"118","65 and over","Sydney - Eastern Suburbs",41900
"119","65 and over","Sydney - Inner South West",101400
"120","65 and over","Sydney - Inner West",57100
"121","65 and over","Sydney - North Sydney and Hornsby",75000
"122","65 and over","Sydney - Northern Beaches",49500
"123","65 and over","Sydney - Outer South West",36500
"124","65 and over","Sydney - Outer West and Blue Mountains",48100
"125","65 and over","Sydney - Parramatta",60600
"126","65 and over","Sydney - Ryde",28700
"127","65 and over","Sydney - South West",63900
"128","65 and over","Sydney - Sutherland",35600
"101","65 and over","Capital Region",47800
"103","65 and over","Central West",38900
"104","65 and over","Coffs Harbour - Grafton",37900
"105","65 and over","Far West and Orana",23000
"106","65 and over","Hunter Valley exc Newcastle",55200
"107","65 and over","Illawarra",59000
"108","65 and over","Mid North Coast",70300
"109","65 and over","Murray",28200
"110","65 and over","New England and North West",45700
"111","65 and over","Newcastle and Lake Macquarie",67700
"112","65 and over","Richmond - Tweed",60400
"113","65 and over","Riverina",32600
"114","65 and over","Southern Highlands and Shoalhaven",40300
"206","65 and over","Melbourne - Inner",88400
"207","65 and over","Melbourne - Inner East",59700
"208","65 and over","Melbourne - Inner South",82700
"209","65 and over","Melbourne - North East",94300
"210","65 and over","Melbourne - North West",65900
"211","65 and over","Melbourne - Outer East",98400
"212","65 and over","Melbourne - South East",116300
"213","65 and over","Melbourne - West",86800
"214","65 and over","Mornington Peninsula",67200
"201","65 and over","Ballarat",33300
"202","65 and over","Bendigo",30300
"203","65 and over","Geelong",54800
"204","65 and over","Hume",32800
"205","65 and over","Latrobe - Gippsland",80800
"215","65 and over","North West",38300
"216","65 and over","Shepparton",32100
"217","65 and over","Warrnambool and South West",26400
"301","65 and over","Brisbane - East",45700
"302","65 and over","Brisbane - North",28600
"303","65 and over","Brisbane - South",51300
"304","65 and over","Brisbane - West",33200
"305","65 and over","Brisbane Inner City",29500
"310","65 and over","Ipswich",39000
"311","65 and over","Logan - Beaudesert",46800
"313","65 and over","Moreton Bay - North",71500
"314","65 and over","Moreton Bay - South",28600
"306","65 and over","Cairns",38800
"307","65 and over","Darling Downs - Maranoa",22500
"308","65 and over","Central Queensland",35800
"309","65 and over","Gold Coast",102300
"312","65 and over","Mackay - Isaac - Whitsunday",26100
"315","65 and over","Queensland - Outback",11000
"316","65 and over","Sunshine Coast",95300
"317","65 and over","Toowoomba",35800
"318","65 and over","Townsville",39300
"319","65 and over","Wide Bay",85000
"401","65 and over","Adelaide - Central and Hills",63900
"402","65 and over","Adelaide - North",74900
"403","65 and over","Adelaide - South",70200
"404","65 and over","Adelaide - West",45500
"405","65 and over","Barossa - Yorke - Mid North",27900
"406","65 and over","South Australia - Outback",12700
"407","65 and over","South Australia - South East",53700
"502","65 and over","Mandurah",33600
"503","65 and over","Perth - Inner",34500
"504","65 and over","Perth - North East",48200
"505","65 and over","Perth - North West",90000
"506","65 and over","Perth - South East",65300
"507","65 and over","Perth - South West",61800
"501","65 and over","Bunbury",36100
"509","65 and over","Western Australia - Wheat Belt",30300
"601","65 and over","Hobart",45700
"602","65 and over","Launceston and North East",31100
"603","65 and over","South East",10300
"604","65 and over","West and North West",27300
"701","65 and over","Darwin",14900
"702","65 and over","Northern Territory - Outback",7300
