retail_trade_food_retailing_number_of_jobs_000, sa4_code
5.124,"101"
7.218,"102"
4.428,"103"
3.315,"104"
2.846,"105"
6.116,"106"
5.711,"107"
4.64,"108"
2.596,"109"
3.747,"110"
7.597,"111"
5.588,"112"
3.54,"113"
3.188,"114"
4.872,"115"
9.401,"116"
6.02,"117"
3.546,"118"
13.648,"119"
6.085,"120"
6.273,"121"
4.817,"122"
6.777,"123"
7.341,"124"
10.857,"125"
3.51,"126"
8.578,"127"
3.63,"128"
3.504,"201"
3.643,"202"
6.653,"203"
4.353,"204"
6.315,"205"
10.336,"206"
7.374,"207"
7.529,"208"
11.565,"209"
8.148,"210"
11.0,"211"
18.407,"212"
18.481,"213"
7.315,"214"
3.606,"215"
3.257,"216"
3.143,"217"
4.8,"301"
4.1,"302"
7.617,"303"
2.893,"304"
4.629,"305"
6.178,"306"
3.109,"307"
4.894,"308"
13.349,"309"
8.249,"310"
8.205,"311"
4.246,"312"
5.251,"313"
4.769,"314"
1.926,"315"
8.379,"316"
3.022,"317"
5.652,"318"
5.989,"319"
5.87,"401"
11.294,"402"
8.288,"403"
5.495,"404"
2.756,"405"
2.2,"406"
4.765,"407"
4.997,"501"
2.246,"502"
3.277,"503"
6.111,"504"
12.799,"505"
11.773,"506"
9.592,"507"
2.8,"509"
2.444,"510"
3.143,"511"
5.625,"601"
3.467,"602"
0.817,"603"
2.79,"604"
3.706,"701"
2.593,"702"
8.617,"801"
