median_tot_hhd_inc_weekly, sa4_code_2021, median_age_persons, median_mortgage_repay_monthly, median_rent_weekly, average_num_psns_per_bedroom, median_tot_fam_inc_weekly, average_household_size, median_tot_prsnl_inc_weekly
1544,"101",45,1733,320,0.8,2013,2.4,797
1507,"102",43,2000,400,0.8,1954,2.5,727
1434,"103",41,1517,290,0.7,1898,2.4,738
1254,"104",46,1595,350,0.8,1541,2.4,637
1377,"105",39,1300,250,0.8,1787,2.4,743
1557,"106",40,1733,350,0.8,1925,2.5,733
1684,"107",40,2167,400,0.8,2109,2.5,753
1132,"108",50,1521,330,0.7,1421,2.3,591
1341,"109",44,1300,250,0.7,1780,2.3,724
1328,"110",41,1361,270,0.7,1719,2.4,702
1676,"111",40,1950,390,0.8,2129,2.5,793
1329,"112",46,1733,380,0.8,1700,2.4,682
1480,"113",39,1387,270,0.8,1898,2.5,776
1357,"114",48,1820,360,0.7,1722,2.4,683
2703,"115",39,2905,580,0.8,2893,3.1,988
2109,"116",34,2383,400,0.9,2252,3.1,833
2207,"117",34,2700,550,1.1,2887,2.1,1174
2513,"118",37,3298,600,1.0,3404,2.3,1296
1734,"119",37,2300,440,1.0,1972,2.8,706
2250,"120",37,2780,500,1.0,2757,2.5,1032
2623,"121",40,3000,560,0.9,3309,2.5,1218
2592,"122",41,3124,625,0.9,3131,2.7,1109
1916,"123",35,2167,400,0.8,2136,2.9,804
1854,"124",37,2167,400,0.8,2194,2.7,853
1828,"125",34,2200,430,1.1,2027,2.8,741
2206,"126",38,2670,480,1.0,2641,2.6,982
1713,"127",35,2200,405,1.0,1850,3.2,620
2286,"128",41,2618,500,0.9,2757,2.7,1017
1376,"201",42,1430,290,0.7,1800,2.4,705
1432,"202",43,1452,300,0.7,1864,2.4,729
1658,"203",40,1733,350,0.8,2100,2.5,787
1373,"204",45,1430,275,0.7,1798,2.3,734
1260,"205",46,1343,270,0.7,1636,2.3,653
2006,"206",34,2167,401,1.0,2833,2.0,1137
2059,"207",40,2500,441,0.8,2552,2.6,873
2174,"208",41,2400,438,0.9,2868,2.5,1022
1887,"209",37,2000,380,0.8,2198,2.7,807
1791,"210",35,1924,380,0.9,2031,2.9,732
1907,"211",40,2000,396,0.8,2257,2.6,816
1811,"212",35,1963,380,0.9,2004,2.9,745
1867,"213",34,1900,361,0.9,2077,2.9,786
1604,"214",44,1900,361,0.7,2076,2.4,780
1274,"215",44,1098,231,0.7,1658,2.3,688
1314,"216",43,1300,250,0.8,1663,2.4,679
1335,"217",45,1300,250,0.7,1768,2.3,715
1890,"301",42,2000,420,0.8,2245,2.6,837
1951,"302",37,1970,395,0.8,2385,2.5,932
2022,"303",35,2000,405,0.8,2309,2.7,875
2316,"304",38,2167,420,0.8,2790,2.7,969
2155,"305",34,2200,425,0.9,2968,2.2,1132
1445,"306",41,1517,310,0.8,1806,2.4,748
1280,"307",42,1300,250,0.8,1582,2.4,674
1626,"308",38,1517,280,0.8,2035,2.5,786
1692,"309",39,1950,450,0.8,2009,2.5,785
1615,"310",35,1600,335,0.8,1869,2.7,749
1593,"311",35,1733,350,0.8,1809,2.8,730
1843,"312",38,1712,309,0.8,2201,2.5,878
1383,"313",42,1733,345,0.8,1686,2.5,675
2017,"314",36,1900,385,0.8,2238,2.8,888
1576,"315",34,1300,160,0.9,1868,2.6,789
1574,"316",44,1907,440,0.8,1903,2.5,750
1502,"317",37,1517,310,0.7,1892,2.5,758
1621,"318",37,1517,300,0.8,2016,2.5,826
1096,"319",49,1300,280,0.8,1350,2.3,557
1815,"401",41,1863,355,0.8,2344,2.4,873
1428,"402",37,1408,300,0.8,1737,2.6,693
1540,"403",41,1590,320,0.8,2005,2.4,768
1516,"404",40,1712,310,0.8,2020,2.3,765
1183,"405",48,1180,225,0.7,1526,2.3,627
1283,"406",41,1157,190,0.8,1688,2.3,704
1162,"407",48,1135,230,0.7,1480,2.3,638
1478,"501",43,1640,310,0.7,1891,2.4,739
1286,"502",45,1733,300,0.7,1664,2.4,630
2243,"503",38,2500,400,0.9,3239,2.3,1144
1817,"504",37,1863,340,0.8,2164,2.6,846
1921,"505",38,1950,360,0.7,2302,2.6,871
1796,"506",36,1800,350,0.8,2139,2.6,821
1897,"507",38,1900,350,0.7,2298,2.6,871
1339,"509",46,1403,250,0.7,1757,2.3,718
2396,"510",33,1950,200,0.9,2795,2.8,1281
1708,"511",39,1517,255,0.8,2152,2.4,877
1542,"601",39,1517,350,0.8,1920,2.4,776
1260,"602",43,1300,270,0.8,1609,2.3,664
1186,"603",48,1300,265,0.8,1475,2.3,610
1195,"604",45,1200,240,0.8,1538,2.3,635
2209,"701",34,2100,385,0.9,2485,2.6,1120
1706,"702",31,1733,150,1.2,1407,3.1,539
2373,"801",35,2080,450,0.8,2872,2.5,1204
1497,"901",43,1300,200,0.9,1890,2.4,831
